PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,no_response
42594,0,1,31,F,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_gain,1000,1000,NaN,0,NaN,1
42594,0,1,32,J,32,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1500,1000,NaN,0,NaN,1
42594,0,1,33,D,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,3000,1500,NaN,0,NaN,1
42594,0,1,34,F,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_gain,3000,2000,NaN,0,NaN,1
42594,0,1,35,H,25,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,gain,1000,3000,NaN,0,NaN,1
42594,0,1,36,F,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_gain,3500,3500,NaN,0,NaN,1
42594,0,2,37,C,17,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,2000,1500,gain,0,267,0
42594,0,2,38,J,32,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1000,1500,gain,0,185,0
42594,0,2,39,C,17,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,1000,2000,NaN,0,NaN,1
42594,0,2,40,J,32,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1500,1000,NaN,0,NaN,1
42594,0,2,41,I,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,gain,3000,1500,NaN,0,NaN,1
42594,0,2,42,G,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,3000,3000,NaN,0,NaN,1
42594,0,2,43,F,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_gain,1500,3000,NaN,0,NaN,1
42594,0,2,44,D,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,3000,1000,NaN,0,NaN,1
42594,0,2,45,L,45,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,gain,2000,1000,NaN,0,NaN,1
42594,0,2,46,B,23,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,gain,1000,1000,NaN,0,NaN,1
42594,0,2,47,C,17,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,1500,3000,NaN,0,NaN,1
42594,0,2,48,I,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,gain,1000,1000,NaN,0,NaN,1
42594,0,2,49,E,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,no_gain,1000,1000,NaN,0,NaN,1
42594,0,2,50,F,28,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_gain,3500,1000,NaN,0,NaN,1
42594,0,2,51,C,17,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,3000,1000,NaN,0,NaN,1
42594,0,2,52,J,32,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,2000,1500,NaN,0,NaN,1
42594,0,2,53,G,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1500,1500,NaN,0,NaN,1
42594,0,2,54,D,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1000,3000,NaN,0,NaN,1
42594,0,2,55,G,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1000,3500,NaN,0,NaN,1
42594,0,2,56,A,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1500,3000,NaN,0,NaN,1
42594,0,2,57,A,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1000,1000,NaN,0,NaN,1
42594,0,2,58,J,32,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,2000,1500,NaN,0,NaN,1
42594,0,2,59,E,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,no_gain,3000,2000,NaN,0,NaN,1
42594,0,2,60,K,44,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,no_gain,2000,3500,NaN,0,NaN,1
42594,0,2,61,I,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,gain,1500,1000,NaN,0,NaN,1
42594,0,2,62,D,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1000,1500,NaN,0,NaN,1
42594,0,2,63,I,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,gain,1500,1500,NaN,0,NaN,1
42594,0,2,64,A,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1500,1000,NaN,0,NaN,1
42594,0,2,65,I,39,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,gain,3000,1000,NaN,0,NaN,1
42594,0,2,66,G,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,2000,2000,NaN,0,NaN,1
42594,0,2,67,K,44,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,no_gain,2000,1000,NaN,0,NaN,1
42594,0,2,68,E,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,no_gain,1000,3000,NaN,0,NaN,1
42594,0,2,69,G,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1000,3500,NaN,0,NaN,1
42594,0,2,70,A,21,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_gain,1500,2000,NaN,0,NaN,1
42594,0,2,71,E,55,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,no_gain,1000,2000,NaN,0,NaN,1
42594,0,2,72,D,58,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1500,3000,NaN,0,NaN,1
