"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","responses","tiles_id","moves","final_locations","move_time","stimulus","button_pressed"
"","727.3000000007451","survey-text","10","24692","0.0-10.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","1406.7999999998137","order","11","26099","0.0-11.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":788}]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":788}]","0","",""
"","835.6999999992549","html-button-response","12","26935","0.0-12.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","750.3999999994412","survey-text","13","27687","0.0-13.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","2291.5","order","14","29979","0.0-14.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":884}]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":884}]","0","",""
"","1199","html-button-response","15","31179","0.0-15.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","815.1000000005588","survey-text","16","31995","0.0-16.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","1458.8999999994412","order","17","33455","0.0-17.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":338,""move_time"":792}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":338,""move_time"":792}]","0","",""
"","895.5","html-button-response","18","34351","0.0-18.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","910.7999999998137","survey-text","19","35263","0.0-19.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","1683.2999999998137","order","20","36947","0.0-20.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":841}]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":841}]","0","",""
"","846.9000000003725","html-button-response","21","37795","0.0-21.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","1091.2000000001863","survey-text","22","38887","0.0-22.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","1862.4000000003725","order","23","40751","0.0-23.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":842}]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":338,""move_time"":842}]","0","",""
"","879.3000000007451","html-button-response","24","41631","0.0-24.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","771.3999999994412","survey-text","25","42403","0.0-25.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
"","1822.5999999996275","order","26","44227","0.0-26.0","18.8.2023, 15:20:31","conditionB","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":338,""move_time"":805}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":639,""y"":338,""move_time"":805}]","0","",""
"","916","html-button-response","27","45143","0.0-27.0","18.8.2023, 15:20:31","conditionB","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","1182.9000000003725","survey-text","28","46327","0.0-28.0","18.8.2023, 15:20:31","conditionB","{""Q0"":""""}","","","","","",""
