"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"","survey-text","10","42050","0.0-10.0","23.8.2023, 0:21:16","conditionA","1053.699999988079","{""Q0"":""""}","","","","","",""
"","order","11","57814","0.0-11.0","23.8.2023, 0:21:16","conditionA","15763.100000023842","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":316,""y"":397,""move_time"":1644},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":477,""y"":397,""move_time"":851},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":639,""y"":397,""move_time"":1571},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":800,""y"":397,""move_time"":959},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":5877},{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":3319}]","[{""src"":""http://34.125.186.26/images/3_2.jpg"",""x"":477,""y"":397,""move_time"":3319},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":477,""y"":397,""move_time"":851},{""src"":""http://34.125.186.26/images/3_3.jpg"",""x"":639,""y"":397,""move_time"":5877},{""src"":""http://34.125.186.26/images/3_4.jpg"",""x"":639,""y"":397,""move_time"":1571}]","",""
"","html-button-response","12","58866","0.0-12.0","23.8.2023, 0:21:16","conditionA","1050","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","59890","0.0-13.0","23.8.2023, 0:21:16","conditionA","1022.1999999880791","{""Q0"":""""}","","","","","",""
"","order","14","64294","0.0-14.0","23.8.2023, 0:21:16","conditionA","4402.799999952316","","","[""5_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":477,""y"":397,""move_time"":1190},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":316,""y"":397,""move_time"":954},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":639,""y"":397,""move_time"":860},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":800,""y"":397,""move_time"":622}]","[{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":316,""y"":397,""move_time"":954},{""src"":""http://34.125.186.26/images/5_5.jpg"",""x"":477,""y"":397,""move_time"":1190},{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":639,""y"":397,""move_time"":860},{""src"":""http://34.125.186.26/images/5_8.jpg"",""x"":800,""y"":397,""move_time"":622}]","",""
"","html-button-response","15","65194","0.0-15.0","23.8.2023, 0:21:16","conditionA","898.7999999523163","","","","","","<p>How difficult was it to order the pictures?</p>","0"
"","survey-text","16","66258","0.0-16.0","23.8.2023, 0:21:16","conditionA","1062.5","{""Q0"":""""}","","","","","",""
"","order","17","69734","0.0-17.0","23.8.2023, 0:21:16","conditionA","3474.400000035763","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":903},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":631},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":626}]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":397,""move_time"":903},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":477,""y"":397,""move_time"":631},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":800,""y"":397,""move_time"":626}]","",""
"","html-button-response","18","70490","0.0-18.0","23.8.2023, 0:21:16","conditionA","754.9000000357628","","","","","","<p>How difficult was it to order the pictures?</p>","0"
"","survey-text","19","71562","0.0-19.0","23.8.2023, 0:21:16","conditionA","1071.1000000238419","{""Q0"":""""}","","","","","",""
"","order","20","88610","0.0-20.0","23.8.2023, 0:21:16","conditionA","17047.099999964237","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":477,""y"":397,""move_time"":1694},{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":397,""move_time"":1214},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":639,""y"":397,""move_time"":1251},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":800,""y"":397,""move_time"":861},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":477,""y"":397,""move_time"":1394},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":639,""y"":397,""move_time"":1106},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":800,""y"":397,""move_time"":1998},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397,""move_time"":2087}]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":397,""move_time"":1214},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":477,""y"":397,""move_time"":2087},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":477,""y"":397,""move_time"":1394},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":800,""y"":397,""move_time"":1998}]","",""
"","html-button-response","21","89668","0.0-21.0","23.8.2023, 0:21:16","conditionA","1057.300000011921","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","22","90458","0.0-22.0","23.8.2023, 0:21:16","conditionA","788.1999999880791","{""Q0"":""""}","","","","","",""
"","order","23","98734","0.0-23.0","23.8.2023, 0:21:16","conditionA","8274.699999988079","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":316,""y"":397,""move_time"":1627},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":477,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":639,""y"":397,""move_time"":657},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":800,""y"":397,""move_time"":724},{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":397,""move_time"":1309},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":477,""y"":397,""move_time"":1434},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":639,""y"":397,""move_time"":913}]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":397,""move_time"":1309},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":477,""y"":397,""move_time"":1434},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":477,""y"":397,""move_time"":627},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":639,""y"":397,""move_time"":913}]","",""
"","html-button-response","24","99826","0.0-24.0","23.8.2023, 0:21:16","conditionA","1091.0999999642372","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","25","100578","0.0-25.0","23.8.2023, 0:21:16","conditionA","749.6000000238419","{""Q0"":""""}","","","","","",""
"","order","26","102469","0.0-26.0","23.8.2023, 0:21:16","conditionA","1890.800000011921","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[]","[]","",""
"","html-button-response","27","103384","0.0-27.0","23.8.2023, 0:21:16","conditionA","913","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","28","104838","0.0-28.0","23.8.2023, 0:21:16","conditionA","1452.7999999523163","{""Q0"":""""}","","","","","",""
"","order","29","106730","0.0-29.0","23.8.2023, 0:21:16","conditionA","1890.6000000238419","","","[""4_5"",""4_6"",""4_7"",""4_8""]","[{""src"":""http://34.125.186.26/images/4_6.jpg"",""x"":477,""y"":397,""move_time"":1021}]","[{""src"":""http://34.125.186.26/images/4_6.jpg"",""x"":477,""y"":397,""move_time"":1021}]","",""
"","html-button-response","30","107658","0.0-30.0","23.8.2023, 0:21:16","conditionA","927.1000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","31","108690","0.0-31.0","23.8.2023, 0:21:16","conditionA","1030.800000011921","{""Q0"":""""}","","","","","",""
"","survey-text","32","109264","0.0-32.0","23.8.2023, 0:21:16","conditionA","572.0999999642372","{""Q0"":""""}","","","","","",""
"","instructions","33","110286","0.0-33.0","23.8.2023, 0:21:16","conditionA","1021.1999999880791","","[{""page_index"":0,""viewing_time"":1021.0999999642372}]","","","","",""
