"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"","survey-text","10","35127","0.0-10.0","23.8.2023, 14:21:03","conditionO","1085.6000000238419","{""Q0"":""""}","","","","","","",""
"","order","11","36363","0.0-11.0","23.8.2023, 14:21:03","conditionO","1235","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","html-button-response","12","37282","0.0-12.0","23.8.2023, 14:21:03","conditionO","918.3999999761581","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","13","37938","0.0-13.0","23.8.2023, 14:21:03","conditionO","654.8000000119209","{""Q0"":""""}","","","","","","",""
"","order","14","39734","0.0-14.0","23.8.2023, 14:21:03","conditionO","1795","","","[""5_5"",""5_6"",""5_7"",""5_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","html-button-response","15","40454","0.0-15.0","23.8.2023, 14:21:03","conditionO","719","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","16","41359","0.0-16.0","23.8.2023, 14:21:03","conditionO","902.5","{""Q0"":""""}","","","","","","",""
"","order","17","42548","0.0-17.0","23.8.2023, 14:21:03","conditionO","1188","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","html-button-response","18","43346","0.0-18.0","23.8.2023, 14:21:03","conditionO","797.9000000357628","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","19","44002","0.0-19.0","23.8.2023, 14:21:03","conditionO","654.1999999880791","{""Q0"":""""}","","","","","","",""
"","order","20","45623","0.0-20.0","23.8.2023, 14:21:03","conditionO","1620","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":361,""y"":397,""move_time"":842}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","1","",""
"","html-button-response","21","46566","0.0-21.0","23.8.2023, 14:21:03","conditionO","942.0999999642372","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","22","48026","0.0-22.0","23.8.2023, 14:21:03","conditionO","1458.699999988079","{""Q0"":""""}","","","","","","",""
"","order","23","49962","0.0-23.0","23.8.2023, 14:21:03","conditionO","1935","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":361,""y"":397,""move_time"":933}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","1","",""
"","html-button-response","24","50862","0.0-24.0","23.8.2023, 14:21:03","conditionO","898.8000000119209","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","25","51646","0.0-25.0","23.8.2023, 14:21:03","conditionO","782.9000000357628","{""Q0"":""""}","","","","","","",""
"","order","26","54130","0.0-26.0","23.8.2023, 14:21:03","conditionO","2483","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":361,""y"":397,""move_time"":981}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","1","",""
"","html-button-response","27","55525","0.0-27.0","23.8.2023, 14:21:03","conditionO","1394","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","28","58822","0.0-28.0","23.8.2023, 14:21:03","conditionO","3295.7000000476837","{""Q0"":""""}","","","","","","",""
"","order","29","63267","0.0-29.0","23.8.2023, 14:21:03","conditionO","4445","","","[""4_5"",""4_6"",""4_7"",""4_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":39,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":200,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":361,""y"":397},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":523,""y"":397}]","0","",""
"","html-button-response","30","64366","0.0-30.0","23.8.2023, 14:21:03","conditionO","1097.4000000357628","","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","31","65739","0.0-31.0","23.8.2023, 14:21:03","conditionO","1371.1000000238419","{""Q0"":""""}","","","","","","",""
"","instructions","32","66938","0.0-32.0","23.8.2023, 14:21:03","conditionO","1199.199999988079","","[{""page_index"":0,""viewing_time"":1198.800000011921}]","","","","","",""
