"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"","order","17","634673","0.0-17.0","8/23/2023, 8:22:29 PM","conditionC","36848","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":474,""move_time"":23360},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":478,""y"":474,""move_time"":961},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":640,""y"":474,""move_time"":10745},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":802,""y"":474,""move_time"":961}]","[{""src"":""http://34.125.186.26/images/9_1.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/9_4.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","18","642226","0.0-18.0","8/23/2023, 8:22:29 PM","conditionC","7552.200000047684","","","","","","","<p>How difficult was it to order the pictures?</p>","0"
"","survey-text","19","646675","0.0-19.0","8/23/2023, 8:22:29 PM","conditionC","4446.199999809265","{""Q0"":""random""}","","","","","","",""
"","order","20","670651","0.0-20.0","8/23/2023, 8:22:29 PM","conditionC","23976","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":474,""move_time"":12029},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":478,""y"":474,""move_time"":7225},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":640,""y"":474,""move_time"":1281},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":802,""y"":474,""move_time"":2135}]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/1_3.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/1_4.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","21","671595","0.0-21.0","8/23/2023, 8:22:29 PM","conditionC","942.9000000953674","","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","22","704380","0.0-22.0","8/23/2023, 8:22:29 PM","conditionC","32783.09999990463","{""Q0"":""coconut on hear, someone saw him, 911 come, 911 ready to take him""}","","","","","","",""
"","order","23","719332","0.0-23.0","8/23/2023, 8:22:29 PM","conditionC","14951","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":474,""move_time"":9227},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":478,""y"":474,""move_time"":1896},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":640,""y"":474,""move_time"":1520},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":802,""y"":474,""move_time"":1335}]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/8_2.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/8_3.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","24","720326","0.0-24.0","8/23/2023, 8:22:29 PM","conditionC","993.2000000476837","","","","","","","<p>How difficult was it to order the pictures?</p>","0"
"","survey-text","25","725223","0.0-25.0","8/23/2023, 8:22:29 PM","conditionC","4895.900000095367","{""Q0"":""growing""}","","","","","","",""
"","order","26","739286","0.0-26.0","8/23/2023, 8:22:29 PM","conditionC","14062","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[{""src"":""http://34.125.186.26/images/6_5.jpg"",""x"":316,""y"":474,""move_time"":10315},{""src"":""http://34.125.186.26/images/6_6.jpg"",""x"":478,""y"":474,""move_time"":926},{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":640,""y"":474,""move_time"":913},{""src"":""http://34.125.186.26/images/6_8.jpg"",""x"":802,""y"":474,""move_time"":1015}]","[{""src"":""http://34.125.186.26/images/6_5.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/6_6.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/6_8.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","27","740128","0.0-27.0","8/23/2023, 8:22:29 PM","conditionC","840.1000001430511","","","","","","","<p>How difficult was it to order the pictures?</p>","0"
"","survey-text","28","744409","0.0-28.0","8/23/2023, 8:22:29 PM","conditionC","4277.5","{""Q0"":""no story""}","","","","","","",""
"","order","29","775042","0.0-29.0","8/23/2023, 8:22:29 PM","conditionC","30633","","","[""4_5"",""4_6"",""4_7"",""4_8""]","[{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":316,""y"":474,""move_time"":25155},{""src"":""http://34.125.186.26/images/4_6.jpg"",""x"":478,""y"":474,""move_time"":1032},{""src"":""http://34.125.186.26/images/4_7.jpg"",""x"":640,""y"":474,""move_time"":952},{""src"":""http://34.125.186.26/images/4_8.jpg"",""x"":802,""y"":474,""move_time"":976}]","[{""src"":""http://34.125.186.26/images/4_5.jpg"",""x"":316,""y"":474},{""src"":""http://34.125.186.26/images/4_6.jpg"",""x"":478,""y"":474},{""src"":""http://34.125.186.26/images/4_7.jpg"",""x"":640,""y"":474},{""src"":""http://34.125.186.26/images/4_8.jpg"",""x"":802,""y"":474}]","4","",""
"","html-button-response","30","777139","0.0-30.0","8/23/2023, 8:22:29 PM","conditionC","2095.2000000476837","","","","","","","<p>How difficult was it to order the pictures?</p>","1"
"","survey-text","31","782227","0.0-31.0","8/23/2023, 8:22:29 PM","conditionC","5087.199999809265","{""Q0"":""no order""}","","","","","","",""
"","instructions","32","784372","0.0-32.0","8/23/2023, 8:22:29 PM","conditionC","2143.699999809265","","[{""page_index"":0,""viewing_time"":2143.0999999046326}]","","","","","",""
