PID,practice,run,trial,iti,pair_id,pair_type,chosen_id,left_stimulus,right_stimulus,left_path,right_path,chosen_left,old_pair,pair_response,pair_acc,pair_rt,left_category,right_category,pairs_rt,old_response,no_response
30959,0,1,12,1000,NaN,recombined,F,51,25,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,0,0,NaN,1,NaN,objects,faces,980,0,0
30959,0,1,13,3000,NaN,recombined,A,45,19,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,0,0,NaN,1,NaN,body_parts,outdoor_scenes,1118,0,0
30959,0,1,14,2000,K,intact,K,37,59,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,1,1,NaN,0,NaN,body_parts,objects,701,0,0
30959,0,1,15,1500,E,intact,E,54,36,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,1,1,NaN,1,NaN,objects,body_parts,345,1,0
30959,0,1,16,3500,NaN,recombined,L,22,46,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,0,0,NaN,0,NaN,outdoor_scenes,body_parts,403,1,0
30959,0,1,17,1000,NaN,recombined,D,29,56,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,0,0,NaN,0,NaN,faces,objects,531,1,0
30959,0,1,18,3000,NaN,recombined,H,27,59,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,1,0,NaN,0,NaN,faces,objects,665,1,0
30959,0,1,19,1500,D,intact,D,56,33,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,1,1,NaN,1,NaN,objects,faces,205,1,0
30959,0,1,20,1500,F,intact,F,25,43,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg,1,1,NaN,0,NaN,faces,body_parts,261,0,0
30959,0,1,21,1000,A,intact,A,19,55,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,1,1,NaN,0,NaN,outdoor_scenes,objects,314,0,0
30959,0,1,22,1000,NaN,recombined,C,15,43,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg,1,0,NaN,1,NaN,outdoor_scenes,body_parts,422,0,0
30959,0,1,23,1000,NaN,recombined,E,54,33,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,1,0,NaN,0,NaN,objects,faces,378,1,0
30959,0,1,24,2000,I,intact,I,38,18,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,1,1,NaN,1,NaN,body_parts,outdoor_scenes,393,1,0
30959,0,1,25,3500,NaN,recombined,K,18,37,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,0,0,NaN,0,NaN,outdoor_scenes,body_parts,345,1,0
30959,0,1,26,1000,B,intact,B,13,29,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,1,1,NaN,0,NaN,outdoor_scenes,faces,408,0,0
30959,0,1,27,2000,J,intact,J,31,51,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,1,1,NaN,1,NaN,faces,objects,389,1,0
