PID,practice,trial,iti,pair_id,pair_type,chosen_id,left_stimulus,right_stimulus,left_path,right_path,chosen_left,old_pair,pair_response,pair_acc,pair_rt,left_category,right_category
15673,0,15,1000,K,intact,K,43,49,Stimuli/Experimental_stims/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,objects
15673,0,16,2000,C,intact,C,19,41,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,1,1,NaN,NaN,NaN,outdoor_scenes,body_parts
15673,0,17,3000,NaN,recombined,E,32,58,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,0,0,NaN,NaN,NaN,faces,objects
15673,0,18,1500,F,intact,F,33,47,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,1,1,NaN,NaN,NaN,faces,body_parts
15673,0,19,2000,D,intact,D,54,32,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,1,1,NaN,NaN,NaN,objects,faces
15673,0,20,1000,NaN,recombined,D,27,54,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,0,0,NaN,NaN,NaN,faces,objects
15673,0,21,1500,E,intact,E,58,44,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg,1,1,NaN,NaN,NaN,objects,body_parts
15673,0,22,1500,NaN,recombined,I,42,12,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,1,0,NaN,NaN,NaN,body_parts,outdoor_scenes
15673,0,23,3500,I,intact,I,42,21,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,1,1,NaN,NaN,NaN,body_parts,outdoor_scenes
15673,0,24,3000,NaN,recombined,F,33,56,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,1,0,NaN,NaN,NaN,faces,objects
15673,0,25,1500,NaN,recombined,H,24,59,Stimuli/Experimental_stims/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,1,0,NaN,NaN,NaN,faces,objects
15673,0,26,3500,J,intact,J,26,56,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,1,1,NaN,NaN,NaN,faces,objects
15673,0,27,1500,NaN,recombined,G,50,31,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,1,0,NaN,NaN,NaN,objects,faces
