PID,phase,trial,event,onset,duration
1,deliberation,27,confirmation,6258.803,0.843
1,deliberation,27,iti,6259.646,3
1,deliberation,28,choice,6262.646,0.026
1,deliberation,28,confirmation,6262.672,0.974
1,deliberation,28,iti,6263.646,3.5
1,deliberation,29,choice,6267.146,0.093
1,deliberation,29,confirmation,6267.239,0.907
1,deliberation,29,iti,6268.146,3
1,deliberation,30,choice,6271.146,0.012
1,deliberation,30,confirmation,6271.157999999999,0.988
1,deliberation,30,iti,6272.146,3
1,deliberation,31,choice,6275.146,1.131
1,deliberation,31,scramble_instruction,6276.277,557
1,deliberation,31,confirmation,6833.277,-0.688
1,deliberation,31,iti,6832.589,1.5
1,deliberation,32,choice,6834.089,0.19
1,deliberation,32,confirmation,6834.2789999999995,0.81
1,deliberation,32,iti,6835.089,1
1,deliberation,33,choice,6836.089,1.171
1,deliberation,33,scramble_instruction,6837.26,252
1,deliberation,33,confirmation,7089.26,-0.423
1,deliberation,33,iti,7088.837,1.5
1,deliberation,34,choice,7090.337,1.227
1,deliberation,34,scramble_instruction,7091.564,225
1,deliberation,34,confirmation,7316.564,-0.452
1,deliberation,34,iti,7316.112,1
1,deliberation,35,choice,7317.112,0.137
1,deliberation,35,confirmation,7317.249,0.863
1,deliberation,35,iti,7318.112,1.5
1,deliberation,36,choice,7319.612,0.139
1,deliberation,36,confirmation,7319.751,0.861
1,deliberation,36,iti,7320.612,2
1,deliberation,37,choice,7322.612,0.077
1,deliberation,37,confirmation,7322.689,0.923
1,deliberation,37,iti,7323.612,1.5
1,deliberation,38,choice,7325.112,1.59
1,deliberation,38,scramble_instruction,7326.702,351
1,deliberation,38,confirmation,7677.702,-0.941
1,deliberation,38,iti,7676.761,1
1,deliberation,39,choice,7677.761,0.127
1,deliberation,39,confirmation,7677.888000000001,0.873
1,deliberation,39,iti,7678.761,1
1,deliberation,40,choice,7679.761,0.373
1,deliberation,40,confirmation,7680.134,0.627
1,deliberation,40,iti,7680.761,1
1,deliberation,41,choice,7681.761,1.65
1,deliberation,41,scramble_instruction,7683.411,242
1,deliberation,41,confirmation,7925.411,-0.892
1,deliberation,41,iti,7924.519,3
1,deliberation,42,choice,7927.519,0.132
1,deliberation,42,confirmation,7927.651,0.868
1,deliberation,42,iti,7928.519,1
1,deliberation,43,choice,7929.519,1.267
1,deliberation,43,scramble_instruction,7930.786,986
1,deliberation,43,confirmation,8916.786,-1.253
1,deliberation,43,iti,8915.533,1.5
1,deliberation,44,choice,8917.033,1.601
1,deliberation,44,scramble_instruction,8918.634,283
1,deliberation,44,confirmation,9201.634,-0.884
1,deliberation,44,iti,9200.75,2
1,deliberation,45,choice,9202.75,0.166
1,deliberation,45,confirmation,9202.916,0.834
1,deliberation,45,iti,9203.75,2
1,deliberation,46,choice,9205.75,1.77
1,deliberation,46,scramble_instruction,9207.52,262
1,deliberation,46,confirmation,9469.52,-1.032
1,deliberation,46,iti,9468.488000000001,3
1,deliberation,47,choice,9471.488000000001,1.767
1,deliberation,47,scramble_instruction,9473.255000000001,323
1,deliberation,47,confirmation,9796.255000000001,-1.09
1,deliberation,47,iti,9795.165,1
1,deliberation,48,choice,9796.165,1.623
1,deliberation,48,scramble_instruction,9797.788,328
1,deliberation,48,confirmation,10125.788,-0.951
1,deliberation,48,iti,10124.837000000001,3.5
1,deliberation,49,choice,10128.337000000001,1.814
1,deliberation,49,scramble_instruction,10130.151000000002,288
1,deliberation,49,confirmation,10418.151000000002,-1.102
1,deliberation,49,iti,10417.049,2
1,deliberation,50,choice,10419.049,1.43
1,deliberation,50,scramble_instruction,10420.479000000001,284
1,deliberation,50,confirmation,10704.479000000001,-0.714
1,deliberation,50,iti,10703.765000000001,1
1,deliberation,51,choice,10704.765000000001,0.163
1,deliberation,51,confirmation,10704.928000000002,0.837
1,deliberation,51,iti,10705.765000000001,1.5
1,deliberation,52,choice,0,0.454
1,deliberation,52,confirmation,0.454,0.546
1,deliberation,52,iti,1,1.5
1,deliberation,53,choice,2.5,1.194
1,deliberation,53,scramble_instruction,3.694,244
1,deliberation,53,confirmation,247.694,-0.438
1,deliberation,53,iti,247.256,1.5
1,deliberation,54,choice,248.756,0.117
1,deliberation,54,confirmation,248.873,0.883
1,deliberation,54,iti,249.756,2
1,deliberation,55,choice,251.756,1.352
1,deliberation,55,scramble_instruction,253.108,307
1,deliberation,55,confirmation,560.108,-0.659
1,deliberation,55,iti,559.449,1.5
1,deliberation,56,choice,560.949,0.147
1,deliberation,56,confirmation,561.096,0.853
1,deliberation,56,iti,561.949,3.5
1,deliberation,57,choice,565.449,0.497
1,deliberation,57,scramble_instruction,565.9459999999999,295
1,deliberation,57,confirmation,860.9459999999999,0.208
1,deliberation,57,iti,861.1539999999999,1
1,deliberation,58,choice,862.1539999999999,0.286
1,deliberation,58,confirmation,862.4399999999998,0.714
1,deliberation,58,iti,863.1539999999999,3
1,deliberation,59,choice,866.1539999999999,1.77
1,deliberation,59,scramble_instruction,867.9239999999999,326
1,deliberation,59,confirmation,1193.924,-1.096
1,deliberation,59,iti,1192.828,1
1,deliberation,60,choice,1193.828,0.187
1,deliberation,60,confirmation,1194.0149999999999,0.813
1,deliberation,60,iti,1194.828,1
1,deliberation,61,choice,1195.828,0.257
1,deliberation,61,confirmation,1196.085,0.743
1,deliberation,61,iti,1196.828,1
1,deliberation,62,choice,1197.828,0.2
1,deliberation,62,confirmation,1198.028,0.8
1,deliberation,62,iti,1198.828,1
1,deliberation,63,choice,1199.828,0.073
1,deliberation,63,confirmation,1199.901,0.927
1,deliberation,63,iti,1200.828,1
1,deliberation,64,choice,1201.828,0.653
1,deliberation,64,scramble_instruction,1202.481,394
1,deliberation,64,confirmation,1596.481,-0.047
1,deliberation,64,iti,1596.434,1
1,deliberation,65,choice,1597.434,0.185
1,deliberation,65,confirmation,1597.619,0.815
1,deliberation,65,iti,1598.434,3
1,deliberation,66,choice,1601.434,1.418
1,deliberation,66,scramble_instruction,1602.8519999999999,319
1,deliberation,66,confirmation,1921.8519999999999,-0.737
1,deliberation,66,iti,1921.1149999999998,3.5
1,deliberation,67,choice,1924.6149999999998,0.233
1,deliberation,67,scramble_instruction,1924.8479999999997,330
1,deliberation,67,confirmation,2254.848,0.437
1,deliberation,67,iti,2255.285,3
1,deliberation,68,choice,2258.285,1.356
1,deliberation,68,scramble_instruction,2259.641,341
1,deliberation,68,confirmation,2600.641,-0.697
1,deliberation,68,iti,2599.944,2
1,deliberation,69,choice,2601.944,0.983
1,deliberation,69,scramble_instruction,2602.927,271
1,deliberation,69,confirmation,2873.927,-0.254
1,deliberation,69,iti,2873.6730000000002,1
1,deliberation,70,choice,2874.6730000000002,1.581
1,deliberation,70,scramble_instruction,2876.2540000000004,238
1,deliberation,70,confirmation,3114.2540000000004,-0.819
1,deliberation,70,iti,3113.4350000000004,3
1,deliberation,71,choice,3116.4350000000004,0.185
1,deliberation,71,confirmation,3116.6200000000003,0.815
1,deliberation,71,iti,3117.4350000000004,2
1,deliberation,72,choice,3119.4350000000004,0.613
1,deliberation,72,scramble_instruction,3120.0480000000002,251
1,deliberation,72,confirmation,3371.0480000000002,0.136
1,deliberation,72,iti,3371.184,1.5
1,deliberation,73,choice,3372.684,0.028
1,deliberation,73,confirmation,3372.712,0.972
1,deliberation,73,iti,3373.684,1.5
1,deliberation,74,choice,3375.184,0.04
1,deliberation,74,confirmation,3375.224,0.96
1,deliberation,74,iti,3376.184,1.5
1,deliberation,75,choice,3377.684,1.562
1,deliberation,75,scramble_instruction,3379.246,353
1,deliberation,75,confirmation,3732.246,-0.915
1,deliberation,75,iti,3731.331,2
1,deliberation,76,choice,3733.331,0.766
1,deliberation,76,scramble_instruction,3734.097,292
1,deliberation,76,confirmation,4026.097,-0.058
1,deliberation,76,iti,4026.039,1
1,deliberation,77,choice,4027.039,1.376
1,deliberation,77,scramble_instruction,4028.4150000000004,330
1,deliberation,77,confirmation,4358.415000000001,-0.706
1,deliberation,77,iti,4357.709000000001,2
1,deliberation,78,choice,4359.709000000001,1.614
1,deliberation,78,scramble_instruction,4361.323,297
1,deliberation,78,confirmation,4658.323,-0.911
1,deliberation,78,iti,4657.412,3
1,deliberation,79,choice,4660.412,0.146
1,deliberation,79,confirmation,4660.558,0.854
1,deliberation,79,iti,4661.412,3
1,deliberation,80,choice,4664.412,0.151
1,deliberation,80,confirmation,4664.563,0.849
1,deliberation,80,iti,4665.412,1
1,deliberation,81,choice,4666.412,0.168
1,deliberation,81,confirmation,4666.58,0.832
1,deliberation,81,iti,4667.412,3
1,deliberation,82,choice,4670.412,0.166
1,deliberation,82,confirmation,4670.578,0.834
1,deliberation,82,iti,4671.412,1
1,deliberation,83,choice,4672.412,1.545
1,deliberation,83,scramble_instruction,4673.957,355
1,deliberation,83,confirmation,5028.957,-0.9
1,deliberation,83,iti,5028.057000000001,1
1,deliberation,84,choice,5029.057000000001,0.23
1,deliberation,84,confirmation,5029.287,0.77
1,deliberation,84,iti,5030.057000000001,1.5
1,deliberation,85,choice,5031.557000000001,1.337
1,deliberation,85,scramble_instruction,5032.894000000001,270
1,deliberation,85,confirmation,5302.894000000001,-0.607
1,deliberation,85,iti,5302.287000000001,3
1,deliberation,86,choice,5305.287000000001,1.925
1,deliberation,86,scramble_instruction,5307.212000000001,256
1,deliberation,86,confirmation,5563.212000000001,-1.181
1,deliberation,86,iti,5562.031000000002,3.5
1,deliberation,87,choice,5565.531000000002,1.453
1,deliberation,87,scramble_instruction,5566.984000000002,219
1,deliberation,87,confirmation,5785.984000000002,-0.672
1,deliberation,87,iti,5785.312000000003,1
1,deliberation,88,choice,5786.312000000003,1.144
1,deliberation,88,scramble_instruction,5787.456000000003,280
1,deliberation,88,confirmation,6067.456000000003,-0.424
1,deliberation,88,iti,6067.032000000003,2
1,deliberation,89,choice,6069.032000000003,0.154
1,deliberation,89,confirmation,6069.186000000003,0.846
1,deliberation,89,iti,6070.032000000003,2
1,deliberation,90,choice,6072.032000000003,1.34
1,deliberation,90,scramble_instruction,6073.372000000003,327
1,deliberation,90,confirmation,6400.372000000003,-0.667
1,deliberation,90,iti,6399.705000000003,1
1,deliberation,91,choice,6400.705000000003,0.2
1,deliberation,91,confirmation,6400.9050000000025,0.8
1,deliberation,91,iti,6401.705000000003,1
1,deliberation,92,choice,6402.705000000003,0.63
1,deliberation,92,scramble_instruction,6403.335000000003,255
1,deliberation,92,confirmation,6658.335000000003,0.115
1,deliberation,92,iti,6658.450000000003,1.5
1,deliberation,93,choice,6659.950000000003,1.09
1,deliberation,93,scramble_instruction,6661.040000000003,331
1,deliberation,93,confirmation,6992.040000000003,-0.421
1,deliberation,93,iti,6991.619000000002,1.5
1,deliberation,94,choice,6993.119000000002,0.258
1,deliberation,94,confirmation,6993.377000000002,0.742
1,deliberation,94,iti,6994.119000000002,1.5
1,deliberation,95,choice,6995.619000000002,0.24
1,deliberation,95,confirmation,6995.859000000002,0.76
1,deliberation,95,iti,6996.619000000002,3.5
1,deliberation,96,choice,7000.119000000002,0.45
1,deliberation,96,confirmation,7000.569000000002,0.55
1,deliberation,96,iti,7001.119000000002,2
1,deliberation,97,choice,7003.119000000002,1.603
1,deliberation,97,scramble_instruction,7004.7220000000025,257
1,deliberation,97,confirmation,7261.7220000000025,-0.86
1,deliberation,97,iti,7260.862000000003,1.5
1,deliberation,98,choice,7262.362000000003,0.294
1,deliberation,98,confirmation,7262.656000000003,0.706
1,deliberation,98,iti,7263.362000000003,1.5
1,deliberation,99,choice,7264.862000000003,0.163
1,deliberation,99,confirmation,7265.025000000002,0.837
1,deliberation,99,iti,7265.862000000003,1
1,outcome_learning,0,gain,7266.862000000003,1
1,outcome_learning,0,isi,7268.362000000003,0.1
1,outcome_learning,0,outcome,7268.462000000003,0.151
1,outcome_learning,0,iti,7268.613000000003,0.1
1,outcome_learning,1,no-gain,7268.713000000003,0.1
1,outcome_learning,1,isi,7270.213000000003,0.1
1,outcome_learning,1,outcome,7270.313000000004,0.006
1,outcome_learning,1,iti,7270.319000000004,0.1
1,outcome_learning,2,no-gain,7270.419000000004,0.1
1,outcome_learning,2,isi,7271.919000000004,0.1
1,outcome_learning,2,outcome,7272.019000000005,0.317
1,outcome_learning,2,iti,7272.336000000005,0.1
1,outcome_learning,3,gain,7272.436000000005,0.1
1,outcome_learning,3,isi,7273.936000000005,0.1
1,outcome_learning,3,outcome,7274.0360000000055,0.281
1,outcome_learning,3,iti,7274.3170000000055,0.1
1,outcome_learning,4,no_gain,0,0.1
1,outcome_learning,4,isi,1.5,0.1
1,outcome_learning,4,outcome,1.6,0.195
1,outcome_learning,4,iti,1.7950000000000002,0.1
1,outcome_learning,5,no_gain,1.8950000000000002,0.1
1,outcome_learning,5,isi,3.3950000000000005,0.1
1,outcome_learning,5,outcome,3.4950000000000006,0.216
1,outcome_learning,5,iti,3.7110000000000007,0.1
1,outcome_learning,6,gain,3.811000000000001,0.1
1,outcome_learning,6,isi,5.311000000000001,0.1
1,outcome_learning,6,outcome,5.4110000000000005,0.211
1,outcome_learning,6,iti,5.622000000000001,0.1
1,outcome_learning,7,no_gain,5.722,0.1
1,outcome_learning,7,isi,7.222,0.1
1,outcome_learning,7,outcome,7.322,0.168
1,outcome_learning,7,iti,7.49,0.1
1,outcome_learning,8,no_gain,7.59,0.1
1,outcome_learning,8,isi,9.09,0.1
1,outcome_learning,8,outcome,9.19,0.359
1,outcome_learning,8,iti,9.549,0.1
1,outcome_learning,9,gain,9.649,0.1
1,outcome_learning,9,isi,11.149,0.1
1,outcome_learning,9,outcome,11.248999999999999,0.124
1,outcome_learning,9,iti,11.373,0.1
1,outcome_learning,10,gain,11.472999999999999,0.1
1,outcome_learning,10,isi,12.972999999999999,0.1
1,outcome_learning,10,outcome,13.072999999999999,0.339
1,outcome_learning,10,iti,13.411999999999999,0.1
1,outcome_learning,11,gain,13.511999999999999,0.1
1,outcome_learning,11,isi,15.011999999999999,0.1
1,outcome_learning,11,outcome,15.111999999999998,0.067
1,outcome_learning,11,iti,15.178999999999998,0.1
1,outcome_learning,12,no_gain,15.278999999999998,0.1
1,outcome_learning,12,isi,16.778999999999996,0.1
1,outcome_learning,12,outcome,16.878999999999998,1.5
1,outcome_learning,12,iti,18.378999999999998,0.1
1,outcome_learning,13,no_gain,18.479,0.1
1,outcome_learning,13,isi,19.979,0.1
1,outcome_learning,13,outcome,20.079,0.545
1,outcome_learning,13,iti,20.624000000000002,0.1
1,outcome_learning,14,no_gain,20.724000000000004,0.1
1,outcome_learning,14,isi,22.224000000000004,0.1
1,outcome_learning,14,outcome,22.324000000000005,0.734
1,outcome_learning,14,iti,23.058000000000007,0.1
1,outcome_learning,15,gain,23.15800000000001,0.1
1,outcome_learning,15,isi,24.65800000000001,0.1
1,outcome_learning,15,outcome,24.75800000000001,0.657
1,outcome_learning,15,iti,25.41500000000001,0.1
1,outcome_learning,16,gain,25.51500000000001,0.1
1,outcome_learning,16,isi,27.01500000000001,0.1
1,outcome_learning,16,outcome,27.115000000000013,0.438
1,outcome_learning,16,iti,27.55300000000001,0.1
1,outcome_learning,17,no_gain,27.653000000000013,0.1
1,outcome_learning,17,isi,29.153000000000013,0.1
1,outcome_learning,17,outcome,29.253000000000014,1.5
1,outcome_learning,17,iti,30.753000000000014,0.1
1,outcome_learning,18,gain,30.853000000000016,0.1
1,outcome_learning,18,isi,32.353000000000016,0.1
1,outcome_learning,18,outcome,32.45300000000002,1.5
1,outcome_learning,18,iti,33.95300000000002,0.1
1,outcome_learning,19,gain,34.05300000000002,0.1
1,outcome_learning,19,isi,35.55300000000002,0.1
1,outcome_learning,19,outcome,35.65300000000002,1.5
1,outcome_learning,19,iti,37.15300000000002,0.1
1,outcome_learning,20,gain,37.25300000000002,0.1
1,outcome_learning,20,isi,38.75300000000002,0.1
1,outcome_learning,20,outcome,38.85300000000002,1.5
1,outcome_learning,20,iti,40.35300000000002,0.1
1,outcome_learning,21,no_gain,40.453000000000024,0.1
1,outcome_learning,21,isi,41.953000000000024,0.1
1,outcome_learning,21,outcome,42.053000000000026,1.5
1,outcome_learning,21,iti,43.553000000000026,0.1
1,outcome_learning,22,gain,43.65300000000003,0.1
1,outcome_learning,22,isi,45.15300000000003,0.1
1,outcome_learning,22,outcome,45.25300000000003,0.088
1,outcome_learning,22,iti,45.34100000000003,0.1
1,outcome_learning,23,no_gain,45.44100000000003,0.1
1,outcome_learning,23,isi,46.94100000000003,0.1
1,outcome_learning,23,outcome,47.04100000000003,0.13
1,outcome_learning,23,iti,47.171000000000035,0.1
1,outcome_learning,24,gain,47.271000000000036,0.1
1,outcome_learning,24,isi,48.771000000000036,0.1
1,outcome_learning,24,outcome,48.87100000000004,0.125
1,outcome_learning,24,iti,48.99600000000004,0.1
1,outcome_learning,25,gain,49.09600000000004,0.1
1,outcome_learning,25,isi,50.59600000000004,0.1
1,outcome_learning,25,outcome,50.69600000000004,0.162
1,outcome_learning,25,iti,50.85800000000004,0.1
1,outcome_learning,26,gain,50.95800000000004,0.1
1,outcome_learning,26,isi,52.45800000000004,0.1
1,outcome_learning,26,outcome,52.55800000000004,0.066
1,outcome_learning,26,iti,52.624000000000045,0.1
1,outcome_learning,27,no_gain,52.724000000000046,0.1
1,outcome_learning,27,isi,54.224000000000046,0.1
1,outcome_learning,27,outcome,54.32400000000005,1.5
1,outcome_learning,27,iti,55.82400000000005,0.1
1,outcome_learning,28,gain,55.92400000000005,0.1
1,outcome_learning,28,isi,57.42400000000005,0.1
1,outcome_learning,28,outcome,57.52400000000005,1.5
1,outcome_learning,28,iti,59.02400000000005,0.1
1,outcome_learning,29,gain,59.12400000000005,0.1
1,outcome_learning,29,isi,60.62400000000005,0.1
1,outcome_learning,29,outcome,60.72400000000005,1.5
1,outcome_learning,29,iti,62.22400000000005,0.1
1,outcome_learning,30,gain,62.324000000000055,0.1
1,outcome_learning,30,isi,63.824000000000055,0.1
1,outcome_learning,30,outcome,63.924000000000056,1.5
1,outcome_learning,30,iti,65.42400000000006,0.1
1,outcome_learning,31,no_gain,65.52400000000006,0.1
1,outcome_learning,31,isi,67.02400000000006,0.1
1,outcome_learning,31,outcome,67.12400000000005,1.5
1,outcome_learning,31,iti,68.62400000000005,0.1
1,outcome_learning,32,no_gain,68.72400000000005,0.1
1,outcome_learning,32,isi,70.22400000000005,0.1
1,outcome_learning,32,outcome,70.32400000000004,1.5
1,outcome_learning,32,iti,71.82400000000004,0.1
1,outcome_learning,33,no_gain,71.92400000000004,0.1
1,outcome_learning,33,isi,73.42400000000004,0.1
1,outcome_learning,33,outcome,73.52400000000003,1.5
1,outcome_learning,33,iti,75.02400000000003,0.1
1,outcome_learning,34,gain,75.12400000000002,0.1
1,outcome_learning,34,isi,76.62400000000002,0.1
1,outcome_learning,34,outcome,76.72400000000002,1.5
1,outcome_learning,34,iti,78.22400000000002,0.1
1,outcome_learning,35,no_gain,78.32400000000001,0.1
1,outcome_learning,35,isi,79.82400000000001,0.1
1,outcome_learning,35,outcome,79.924,1.5
1,outcome_learning,35,iti,81.424,0.1
1,outcome_learning,36,gain,81.524,0.1
1,outcome_learning,36,isi,83.024,0.1
1,outcome_learning,36,outcome,83.124,1.5
1,outcome_learning,36,iti,84.624,0.1
1,outcome_learning,37,gain,84.72399999999999,0.1
1,outcome_learning,37,isi,86.22399999999999,0.1
1,outcome_learning,37,outcome,86.32399999999998,1.5
1,outcome_learning,37,iti,87.82399999999998,0.1
1,outcome_learning,38,no_gain,87.92399999999998,0.1
1,outcome_learning,38,isi,89.42399999999998,0.1
1,outcome_learning,38,outcome,89.52399999999997,1.5
1,outcome_learning,38,iti,91.02399999999997,0.1
1,outcome_learning,39,gain,91.12399999999997,0.1
1,outcome_learning,39,isi,92.62399999999997,0.1
1,outcome_learning,39,outcome,92.72399999999996,1.5
1,outcome_learning,39,iti,94.22399999999996,0.1
1,outcome_learning,40,gain,0,0.1
1,outcome_learning,40,isi,1.5,0.1
1,outcome_learning,40,outcome,1.6,0.195
1,outcome_learning,40,iti,1.7950000000000002,0.1
1,outcome_learning,41,no_gain,1.8950000000000002,0.1
1,outcome_learning,41,isi,3.3950000000000005,0.1
1,outcome_learning,41,outcome,3.4950000000000006,1.5
1,outcome_learning,41,iti,4.995000000000001,0.1
1,outcome_learning,42,no_gain,5.095000000000001,0.1
1,outcome_learning,42,isi,6.595000000000001,0.1
1,outcome_learning,42,outcome,6.695,1.5
1,outcome_learning,42,iti,8.195,0.1
1,outcome_learning,43,no_gain,8.295,0.1
1,outcome_learning,43,isi,9.795,0.1
1,outcome_learning,43,outcome,9.895,1.5
1,outcome_learning,43,iti,11.395,0.1
1,outcome_learning,44,gain,11.495,0.1
1,outcome_learning,44,isi,12.995,0.1
1,outcome_learning,44,outcome,13.094999999999999,1.5
1,outcome_learning,44,iti,14.594999999999999,0.1
1,outcome_learning,45,no_gain,14.694999999999999,0.1
1,outcome_learning,45,isi,16.195,0.1
1,outcome_learning,45,outcome,16.295,1.5
1,outcome_learning,45,iti,17.795,0.1
1,outcome_learning,46,gain,17.895000000000003,0.1
1,outcome_learning,46,isi,19.395000000000003,0.1
1,outcome_learning,46,outcome,19.495000000000005,1.5
1,outcome_learning,46,iti,20.995000000000005,0.1
1,outcome_learning,47,no_gain,21.095000000000006,0.1
1,outcome_learning,47,isi,22.595000000000006,0.1
1,outcome_learning,47,outcome,22.695000000000007,1.5
1,outcome_learning,47,iti,24.195000000000007,0.1
1,outcome_learning,48,no_gain,24.29500000000001,0.1
1,outcome_learning,48,isi,25.79500000000001,0.1
1,outcome_learning,48,outcome,25.89500000000001,1.5
1,outcome_learning,48,iti,27.39500000000001,0.1
1,outcome_learning,49,gain,27.49500000000001,0.1
1,outcome_learning,49,isi,28.99500000000001,0.1
1,outcome_learning,49,outcome,29.095000000000013,1.5
1,outcome_learning,49,iti,30.595000000000013,0.1
1,outcome_learning,50,gain,30.695000000000014,0.1
1,outcome_learning,50,isi,32.195000000000014,0.1
1,outcome_learning,50,outcome,32.295000000000016,1.5
1,outcome_learning,50,iti,33.795000000000016,0.1
1,outcome_learning,51,no_gain,33.89500000000002,0.1
1,outcome_learning,51,isi,35.39500000000002,0.1
1,outcome_learning,51,outcome,35.49500000000002,1.5
1,outcome_learning,51,iti,36.99500000000002,0.1
1,outcome_learning,52,no_gain,37.09500000000002,0.1
1,outcome_learning,52,isi,38.59500000000002,0.1
1,outcome_learning,52,outcome,38.69500000000002,1.5
1,outcome_learning,52,iti,40.19500000000002,0.1
1,outcome_learning,53,no_gain,40.29500000000002,0.1
1,outcome_learning,53,isi,41.79500000000002,0.1
1,outcome_learning,53,outcome,41.895000000000024,1.5
1,outcome_learning,53,iti,43.395000000000024,0.1
1,outcome_learning,54,gain,43.495000000000026,0.1
1,outcome_learning,54,isi,44.995000000000026,0.1
1,outcome_learning,54,outcome,45.09500000000003,1.5
1,outcome_learning,54,iti,46.59500000000003,0.1
1,outcome_learning,55,gain,46.69500000000003,0.1
1,outcome_learning,55,isi,48.19500000000003,0.1
1,outcome_learning,55,outcome,48.29500000000003,1.5
1,outcome_learning,55,iti,49.79500000000003,0.1
1,outcome_learning,56,gain,49.89500000000003,0.1
1,outcome_learning,56,isi,51.39500000000003,0.1
1,outcome_learning,56,outcome,51.49500000000003,1.5
1,outcome_learning,56,iti,52.99500000000003,0.1
1,outcome_learning,57,no_gain,53.095000000000034,0.1
1,outcome_learning,57,isi,54.595000000000034,0.1
1,outcome_learning,57,outcome,54.695000000000036,0.229
1,outcome_learning,57,iti,54.924000000000035,0.1
1,outcome_learning,58,no_gain,55.024000000000036,0.1
