PID,practice,run,trial,iti,pair_id,pair_type,chosen_id,left_stimulus,right_stimulus,left_path,right_path,chosen_left,old_pair,pair_response,pair_acc,pair_rt,pair_rt,left_category,right_category
57383,0,1,11,3000,G,intact,G,50,22,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,1,1,NaN,NaN,NA,NaN,objects,outdoor_scenes
57383,0,1,12,2000,NaN,recombined,L,13,42,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,0,0,NaN,NaN,NA,NaN,outdoor_scenes,body_parts
57383,0,1,13,2000,D,intact,D,56,29,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,1,1,NaN,NaN,NA,NaN,objects,faces
57383,0,1,14,1500,F,intact,F,35,45,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,1,1,NaN,NaN,NA,NaN,faces,body_parts
57383,0,1,15,1500,NaN,recombined,I,41,22,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,1,0,NaN,NaN,NA,NaN,body_parts,outdoor_scenes
57383,0,1,16,1000,NaN,recombined,D,33,56,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,0,0,NaN,NaN,NA,NaN,faces,objects
57383,0,1,17,2000,C,intact,C,12,40,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg,1,1,NaN,NaN,NA,NaN,outdoor_scenes,body_parts
57383,0,1,18,3500,J,intact,J,25,57,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,1,1,NaN,NaN,NA,NaN,faces,objects
57383,0,1,19,1500,NaN,recombined,G,29,50,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg,0,0,NaN,NaN,NA,NaN,faces,objects
57383,0,1,20,2000,NaN,recombined,K,36,23,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,1,0,NaN,NaN,NA,NaN,body_parts,outdoor_scenes
57383,0,1,21,1000,NaN,recombined,A,39,16,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,0,0,NaN,NaN,NA,NaN,body_parts,outdoor_scenes
57383,0,1,22,1000,A,intact,A,16,48,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,1,1,NaN,NaN,NA,NaN,outdoor_scenes,objects
57383,0,1,23,1000,NaN,recombined,C,12,45,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg,1,0,NaN,NaN,NA,NaN,outdoor_scenes,body_parts
57383,0,1,24,1000,B,intact,B,14,33,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,1,1,NaN,NaN,NA,NaN,outdoor_scenes,faces
57383,0,1,25,3000,NaN,recombined,F,57,35,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,0,0,NaN,NaN,NA,NaN,objects,faces
57383,0,1,26,3500,I,intact,I,41,13,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,1,1,NaN,NaN,NA,NaN,body_parts,outdoor_scenes
