"rt","responses","ttype","trial_type","trial_index","time_elapsed","internal_node_id","age","warning","missed_checkup","PID","success","start_time","view_history","repeat_instructions","key_press","response","stimulus_index","path","index","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","onset","duration","response_ends_trial","trial_duration","scramble_acc"
"180","","rating","html-slider-response","14","12773","0.0-1.0-11.0","","0","0","22","","","","","","50","51","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","","rating","html-slider-response","15","12947","0.0-1.0-12.0","","0","0","22","","","","","","50","30","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","16","13113","0.0-1.0-13.0","","0","0","22","","","","","","50","42","Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"259","","rating","html-slider-response","17","13374","0.0-1.0-14.0","","0","0","22","","","","","","50","31","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","","rating","html-slider-response","18","13548","0.0-1.0-15.0","","0","0","22","","","","","","50","33","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160","","rating","html-slider-response","19","13710","0.0-1.0-16.0","","0","0","22","","","","","","50","47","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"177","","rating","html-slider-response","20","13888","0.0-1.0-17.0","","0","0","22","","","","","","50","12","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","21","14054","0.0-1.0-18.0","","0","0","22","","","","","","50","13","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"179","","rating","html-slider-response","22","14235","0.0-1.0-19.0","","0","0","22","","","","","","50","24","Stimuli/Experimental_stims/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173","","rating","html-slider-response","23","14410","0.0-1.0-20.0","","0","0","22","","","","","","50","40","Stimuli/Experimental_stims/body_parts/klara-kulikova-TcUfF24fUMY-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","24","14576","0.0-1.0-21.0","","0","0","22","","","","","","50","28","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188","","rating","html-slider-response","25","14766","0.0-1.0-22.0","","0","0","22","","","","","","50","43","Stimuli/Experimental_stims/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","","rating","html-slider-response","26","14940","0.0-1.0-23.0","","0","0","22","","","","","","50","35","Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","","rating","html-slider-response","27","15114","0.0-1.0-24.0","","0","0","22","","","","","","50","57","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156","","rating","html-slider-response","28","15272","0.0-1.0-25.0","","0","0","22","","","","","","50","50","Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","29","15438","0.0-1.0-26.0","","0","0","22","","","","","","50","37","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"243","","rating","html-slider-response","30","15683","0.0-1.0-27.0","","0","0","22","","","","","","50","39","Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157","","rating","html-slider-response","31","15841","0.0-1.0-28.0","","0","0","22","","","","","","50","48","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","rating","html-slider-response","32","16007","0.0-1.0-29.0","","0","0","22","","","","","","50","17","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"179","","rating","html-slider-response","33","16189","0.0-1.0-30.0","","0","0","22","","","","","","50","26","Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","","rating","html-slider-response","34","16363","0.0-1.0-31.0","","0","0","22","","","","","","50","21","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","rating","html-slider-response","35","16529","0.0-1.0-32.0","","0","0","22","","","","","","50","22","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"179","","rating","html-slider-response","36","16711","0.0-1.0-33.0","","0","0","22","","","","","","50","44","Stimuli/Experimental_stims/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","rating","html-slider-response","37","16877","0.0-1.0-34.0","","0","0","22","","","","","","50","41","Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"179","","rating","html-slider-response","38","17059","0.0-1.0-35.0","","0","0","22","","","","","","50","25","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"220","","rating","html-slider-response","39","17280","0.0-1.0-36.0","","0","0","22","","","","","","50","36","Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1256","","rating","html-slider-response","40","18538","0.0-1.0-37.0","","0","0","22","","","","","","50","58","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","","rating","html-slider-response","41","19020","0.0-1.0-38.0","","0","0","22","","","","","","50","32","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"416","","rating","html-slider-response","42","19439","0.0-1.0-39.0","","0","0","22","","","","","","50","52","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"589","","rating","html-slider-response","43","20030","0.0-1.0-40.0","","0","0","22","","","","","","50","27","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"460","","rating","html-slider-response","44","20492","0.0-1.0-41.0","","0","0","22","","","","","","50","46","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"543","","rating","html-slider-response","45","21037","0.0-1.0-42.0","","0","0","22","","","","","","50","54","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527","","rating","html-slider-response","46","21566","0.0-1.0-43.0","","0","0","22","","","","","","50","34","Stimuli/Experimental_stims/faces/olena-sergienko-0TSd6uCKTKc-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"536","","rating","html-slider-response","47","22104","0.0-1.0-44.0","","0","0","22","","","","","","50","53","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"568","","rating","html-slider-response","48","22674","0.0-1.0-45.0","","0","0","22","","","","","","50","56","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"719","","rating","html-slider-response","49","23394","0.0-1.0-46.0","","0","0","22","","","","","","50","14","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"585","","rating","html-slider-response","50","23982","0.0-1.0-47.0","","0","0","22","","","","","","50","29","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676","","rating","html-slider-response","51","24659","0.0-1.0-48.0","","0","0","22","","","","","","50","18","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"259","","rating","html-slider-response","52","24920","0.0-1.0-49.0","","0","0","22","","","","","","50","15","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3646","","deliberation_instructions","instructions","53","28604","0.0-2.0-0.0-0.0","","0","0","22","","","[{""page_index"":0,""viewing_time"":1321},{""page_index"":1,""viewing_time"":609},{""page_index"":2,""viewing_time"":530},{""page_index"":3,""viewing_time"":648},{""page_index"":4,""viewing_time"":538}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6687","{""Q0"":""True"",""Q1"":""True"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""D""}","deliberation_comprehension_check","survey-multi-choice","54","35295","0.0-2.0-0.0-1.0","","0","0","22","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1913","","","html-keyboard-response","55","37211","0.0-2.0-1.0","","0","0","22","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"947","","deliberation","html-keyboard-response","56","38161","0.0-2.0-2.0-0.0","","0","0","22","","","","","50","","","","0","1","NA","NA","NaN","NaN","0","prac1","1","NaN","NaN","original","1500","0","0","NA","NA","NaN","NaN","Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg","NA","NA","0","0.947","","",""
"null","","deliberation_confirmation","html-keyboard-response","57","38220","0.0-2.0-2.0-2.0-0.0","","0","0","22","","","","","null","","","","0","","","","","","","","","","","","","0","","","","","","","","","","0.947","0.053","","",""
"null","","iti","html-keyboard-response","58","38331","0.0-2.0-2.0-4.0","","0","0","22","","","","","null","","","","0","","","","","","","","","","","","","0","","","","","","","","","","1","1.5","","",""
"402","","deliberation","html-keyboard-response","59","38736","0.0-2.0-4.0-0.0","","0","0","22","","","","","50","","","","1","","","","","","","prac2","1","2559","NaN","scramble","2500","0","0","NA","NA","NaN","NaN","Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","NA","NA","2.5","2559","false","2559",""
"498","","scramble_instruction","html-keyboard-response","60","39236","0.0-2.0-4.0-1.0-0.0","","0","0","22","","","","","50","","","","1","1","NA","NA","NaN","NaN","0","","","","","","","0","","","","","","","","","","2561.5","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","61","39240","0.0-2.0-4.0-2.0-0.0","","0","0","22","","","","","null","","","","1","","","","","","","","","","","","","0","","","","","","","","","","3561.5","-2.057","","",""
"null","","iti","html-keyboard-response","62","39342","0.0-2.0-4.0-4.0","","0","0","22","","","","","null","","","","1","","","","","","","","","","","","","0","","","","","","","","","","3559.443","2.5","","",""
"198","","deliberation","html-keyboard-response","63","39543","0.0-2.0-6.0-0.0","","0","0","22","","","","","50","","","","2","","","","","","","prac3","1","1450","NaN","scramble","3000","0","0","NA","NA","NaN","NaN","Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg","NA","NA","3561.943","1450","false","1450",""
"297","","scramble_instruction","html-keyboard-response","64","39841","0.0-2.0-6.0-1.0-0.0","","0","0","22","","","","","50","","","","2","1","NA","NA","NaN","NaN","0","","","","","","","0","","","","","","","","","","5011.943","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","65","39845","0.0-2.0-6.0-2.0-0.0","","0","0","22","","","","","null","","","","2","","","","","","","","","","","","","0","","","","","","","","","","6011.943","-0.747","","",""
"null","","iti","html-keyboard-response","66","39956","0.0-2.0-6.0-4.0","","0","0","22","","","","","null","","","","2","","","","","","","","","","","","","0","","","","","","","","","","6011.196","3","","",""
"174","","deliberation","html-keyboard-response","67","40133","0.0-2.0-8.0-0.0","","0","0","22","","","","","50","","","","3","1","NA","NA","NaN","NaN","0","prac4","1","NaN","NaN","original","2000","0","0","NA","NA","NaN","NaN","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","NA","NA","6014.196","0.174","","",""
"null","","deliberation_confirmation","html-keyboard-response","68","40965","0.0-2.0-8.0-2.0-0.0","","0","0","22","","","","","null","","","","3","","","","","","","","","","","","","0","","","","","","","","","","6014.37","0.826","","",""
"null","","iti","html-keyboard-response","69","41079","0.0-2.0-8.0-4.0","","0","0","22","","","","","null","","","","3","","","","","","","","","","","","","0","","","","","","","","","","6015.196","2","","",""
"1371","","deliberation_practice_over","html-keyboard-response","70","42451","0.0-2.0-8.0-5.0-0.0","","0","0","22","","","","","83","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1183","","start_run","html-keyboard-response","71","43634","0.0-2.0-8.0-5.0-1.0","","0","0","22","","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144","","deliberation","html-keyboard-response","72","43781","0.0-2.0-10.0-0.0","","0","0","22","","","","","50","","","","4","","","","","","","B","0","1152","NaN","scramble","1500","1","1","20","32","outdoor_scenes","faces","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_samsommer-vddccTqwal8-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_justin-chen-J7Cf1Gch49E-unsplash.jpg","NaN","NaN","0","1152","false","1152",""
"233","","scramble_instruction","html-keyboard-response","73","44016","0.0-2.0-10.0-1.0-0.0","","0","0","22","","","","","50","","","","4","1","20","32","outdoor_scenes","faces","0","","","","","","","1","","","","","","","","","","1152","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","74","44019","0.0-2.0-10.0-2.0-0.0","","0","0","22","","","","","null","","","","4","","","","","","","","","","","","","1","","","","","","","","","","2152","-0.385","","",""
"null","","iti","html-keyboard-response","75","44125","0.0-2.0-10.0-4.0","","0","0","22","","","","","null","","","","4","","","","","","","","","","","","","1","","","","","","","","","","2151.615","1.5","","",""
"114","","deliberation","html-keyboard-response","76","44242","0.0-2.0-12.0-0.0","","0","0","22","","","","","50","","","","5","1","53","28","objects","faces","0","D","0","NaN","NaN","original","1000","1","1","53","28","objects","faces","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","50","50","2153.115","0.114","","",""
"null","","deliberation_confirmation","html-keyboard-response","77","45138","0.0-2.0-12.0-2.0-0.0","","0","0","22","","","","","null","","","","5","","","","","","","","","","","","","1","","","","","","","","","","2153.229","0.886","","",""
"null","","iti","html-keyboard-response","78","45243","0.0-2.0-12.0-4.0","","0","0","22","","","","","null","","","","5","","","","","","","","","","","","","1","","","","","","","","","","2154.115","1","","",""
"218","","deliberation","html-keyboard-response","79","45464","0.0-2.0-14.0-0.0","","0","0","22","","","","","50","","","","6","1","25","16","faces","outdoor_scenes","0","H","0","NaN","NaN","original","1000","1","1","25","16","faces","outdoor_scenes","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","50","50","2155.115","0.218","","",""
"null","","deliberation_confirmation","html-keyboard-response","80","46251","0.0-2.0-14.0-2.0-0.0","","0","0","22","","","","","null","","","","6","","","","","","","","","","","","","1","","","","","","","","","","2155.3329999999996","0.782","","",""
"null","","iti","html-keyboard-response","81","46357","0.0-2.0-14.0-4.0","","0","0","22","","","","","null","","","","6","","","","","","","","","","","","","1","","","","","","","","","","2156.115","1","","",""
"13","","deliberation","html-keyboard-response","82","46373","0.0-2.0-16.0-0.0","","0","0","22","","","","","50","","","","7","","","","","","","A","0","1883","NaN","scramble","1500","1","1","13","54","outdoor_scenes","objects","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_jess-bailey-nOeVi8DsN8U-unsplash.jpg","NaN","NaN","2157.115","1883","false","1883",""
"340","","scramble_instruction","html-keyboard-response","83","46713","0.0-2.0-16.0-1.0-0.0","","0","0","22","","","","","50","","","","7","1","13","54","outdoor_scenes","objects","0","","","","","","","1","","","","","","","","","","4040.115","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","84","46716","0.0-2.0-16.0-2.0-0.0","","0","0","22","","","","","null","","","","7","","","","","","","","","","","","","1","","","","","","","","","","5040.115","-1.223","","",""
"null","","iti","html-keyboard-response","85","46819","0.0-2.0-16.0-4.0","","0","0","22","","","","","null","","","","7","","","","","","","","","","","","","1","","","","","","","","","","5038.892","1.5","","",""
"178","","deliberation","html-keyboard-response","86","47000","0.0-2.0-18.0-0.0","","0","0","22","","","","","50","","","","8","","","","","","","J","0","1701","NaN","scramble","3000","1","1","26","59","faces","objects","Stimuli/Experimental_stims/scramble/faces/scrambled_art-hauntington-jzY0KRJopEI-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","NaN","NaN","5040.392","1701","false","1701",""
"318","","scramble_instruction","html-keyboard-response","87","47320","0.0-2.0-18.0-1.0-0.0","","0","0","22","","","","","50","","","","8","1","26","59","faces","objects","0","","","","","","","1","","","","","","","","","","6741.392","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","88","47323","0.0-2.0-18.0-2.0-0.0","","0","0","22","","","","","null","","","","8","","","","","","","","","","","","","1","","","","","","","","","","7741.392","-1.019","","",""
"null","","iti","html-keyboard-response","89","47426","0.0-2.0-18.0-4.0","","0","0","22","","","","","null","","","","8","","","","","","","","","","","","","1","","","","","","","","","","7740.373","3","","",""
"232","","deliberation","html-keyboard-response","90","47661","0.0-2.0-20.0-0.0","","0","0","22","","","","","50","","","","9","","","","","","","K","0","1339","NaN","scramble","3000","1","1","38","50","body_parts","objects","Stimuli/Experimental_stims/scramble/body_parts/scrambled_engin-akyurt-x_3gyC42btc-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_andrew-petrov-TVJqDat4MAw-unsplash.jpg","NaN","NaN","7743.373","1339","false","1339",""
"355","","scramble_instruction","html-keyboard-response","91","48018","0.0-2.0-20.0-1.0-0.0","","0","0","22","","","","","50","","","","9","1","38","50","body_parts","objects","0","","","","","","","1","","","","","","","","","","9082.373","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","92","48020","0.0-2.0-20.0-2.0-0.0","","0","0","22","","","","","null","","","","9","","","","","","","","","","","","","1","","","","","","","","","","10082.373","-0.694","","",""
"null","","iti","html-keyboard-response","93","48127","0.0-2.0-20.0-4.0","","0","0","22","","","","","null","","","","9","","","","","","","","","","","","","1","","","","","","","","","","10081.679","3","","",""
"184","","deliberation","html-keyboard-response","94","48313","0.0-2.0-22.0-0.0","","0","0","22","","","","","50","","","","10","","","","","","","L","0","1820","NaN","scramble","1000","1","1","47","24","body_parts","faces","Stimuli/Experimental_stims/scramble/body_parts/scrambled_tucker-good-36skLT5jZcc-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_abstral-official-cyOKLSgkgCE-unsplash.jpg","NaN","NaN","10084.679","1820","false","1820",""
"338","","scramble_instruction","html-keyboard-response","95","48652","0.0-2.0-22.0-1.0-0.0","","0","0","22","","","","","50","","","","10","1","47","24","body_parts","faces","0","","","","","","","1","","","","","","","","","","11904.679","1000","","","0"
"null","","deliberation_confirmation","html-keyboard-response","96","48655","0.0-2.0-22.0-2.0-0.0","","0","0","22","","","","","null","","","","10","","","","","","","","","","","","","1","","","","","","","","","","12904.679","-1.158","","",""
"null","","iti","html-keyboard-response","97","48763","0.0-2.0-22.0-4.0","","0","0","22","","","","","null","","","","10","","","","","","","","","","","","","1","","","","","","","","","","12903.521","1","","",""
"215","","deliberation","html-keyboard-response","98","48980","0.0-2.0-24.0-0.0","","0","0","22","","","","","50","","","","11","1","22","43","outdoor_scenes","body_parts","0","C","0","NaN","NaN","original","1500","1","1","22","43","outdoor_scenes","body_parts","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","Stimuli/Experimental_stims/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg","50","50","12904.521","0.215","","",""
"null","","deliberation_confirmation","html-keyboard-response","99","49772","0.0-2.0-24.0-2.0-0.0","","0","0","22","","","","","null","","","","11","","","","","","","","","","","","","1","","","","","","","","","","12904.736","0.785","","",""
"null","","iti","html-keyboard-response","100","49877","0.0-2.0-24.0-4.0","","0","0","22","","","","","null","","","","11","","","","","","","","","","","","","1","","","","","","","","","","12905.521","1.5","","",""
"344","","deliberation","html-keyboard-response","101","50225","0.0-2.0-26.0-0.0","","0","0","22","","","","","50","","","","12","1","20","32","outdoor_scenes","faces","0","B","0","NaN","NaN","original","3000","1","1","20","32","outdoor_scenes","faces","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","50","50","12907.021","0.344","","",""
"null","","deliberation_confirmation","html-keyboard-response","102","50895","0.0-2.0-26.0-2.0-0.0","","0","0","22","","","","","null","","","","12","","","","","","","","","","","","","1","","","","","","","","","","12907.365","0.656","","",""
"null","","iti","html-keyboard-response","103","51003","0.0-2.0-26.0-4.0","","0","0","22","","","","","null","","","","12","","","","","","","","","","","","","1","","","","","","","","","","12908.021","3","","",""
